NFCSID,CENSUSREG,CENSUSDIV,A3,A3Ar_w,A4A_new_w,A5_2015,A8,A7,J41_2,C1_2012,C4_2012,EA_1,A11,A9,J4,J20,J43,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G25_1,G25_4,A6,A41,J1,J3,B2
2018010045,4,9,1,2,1,5,6,2,1,1,98,1,2,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,3,7,1,1
2018010046,4,9,2,1,1,6,3,3,98,98,2,2,6,5,3,2,3,0,0,0,0,0,0,1,0,1,1,2,5,5,3,2
2018010047,4,9,1,2,2,6,5,1,5,1,1,1,6,2,3,1,4,1,0,0,0,0,0,0,0,3,3,2,5,8,2,1
2018010048,4,9,1,1,1,4,4,1,4,98,98,2,6,5,3,3,3,1,0,0,0,0,0,0,0,1,1,2,5,5,3,98
2018010049,4,8,2,6,1,4,3,2,3,2,1,1,6,8,2,2,3,0,0,0,0,0,1,0,0,1,1,1,3,4,1,1
2018010050,2,3,2,5,1,6,5,2,1,1,1,1,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,9,1,1
2018010051,2,3,1,6,1,6,5,2,1,1,1,1,6,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,5,5,1,1
2018010052,3,5,1,6,1,2,5,2,4,1,1,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,6,3,1
2018010053,4,9,1,5,1,6,8,2,1,1,1,1,1,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,10,3,1
2018010054,3,5,2,6,1,6,7,2,1,2,1,1,5,8,3,1,98,0,0,0,0,0,1,0,0,1,1,1,98,8,1,1
2018010055,3,5,2,3,1,3,4,2,3,2,2,2,1,6,3,3,3,0,0,0,0,0,1,0,0,1,5,1,2,6,3,1
2018010056,2,3,2,5,1,7,3,1,4,2,2,1,6,1,2,2,3,1,0,0,0,0,0,0,0,1,1,4,3,2,3,1
2018010057,2,3,2,6,1,5,3,1,4,2,2,1,5,7,2,3,2,0,0,0,0,0,1,0,0,1,1,4,4,5,3,1
2018010058,3,5,2,4,1,6,7,2,2,1,1,1,1,2,2,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,2,1
2018010059,4,9,2,6,1,6,7,2,1,1,1,1,5,1,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,8,3,1
2018010060,2,3,2,6,1,4,6,2,2,1,1,2,6,3,3,1,3,1,0,1,0,0,0,0,0,1,1,5,2,7,1,1
2018010061,1,2,2,1,1,6,4,3,1,1,2,1,6,2,3,1,3,0,0,0,0,0,1,0,0,1,1,2,5,8,1,1
2018010062,3,7,2,6,1,4,7,2,1,1,2,1,5,8,3,1,2,0,0,0,0,0,1,0,0,1,1,1,3,5,3,1
2018010063,2,4,2,4,1,5,2,4,5,2,2,1,1,6,1,4,1,0,0,0,0,0,1,0,0,1,1,4,4,1,2,1
2018010064,1,2,2,2,1,7,8,2,1,1,2,1,1,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,6,8,1,1
2018010065,1,2,2,2,2,6,3,3,3,2,1,2,6,2,2,1,3,0,0,0,0,0,1,0,0,1,1,2,1,3,1,2
2018010066,2,4,2,6,1,7,5,2,2,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,6,8,1,1
2018010067,1,2,2,6,1,6,3,1,1,2,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,5,1,6,3,1
2018010068,4,8,1,6,1,5,5,2,4,1,2,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,1,9,3,1
2018010069,2,3,2,2,1,5,3,1,5,1,2,1,6,2,2,3,2,1,0,0,0,0,0,0,0,1,1,2,4,1,2,1
2018010070,3,5,2,2,1,6,5,4,3,2,2,2,6,2,3,2,2,0,0,0,0,0,1,0,0,1,1,4,2,3,3,1
2018010071,3,5,2,1,1,2,2,3,5,2,2,1,1,3,2,4,2,0,0,0,0,0,1,0,0,1,3,2,2,2,1,2
2018010072,2,3,2,6,1,4,4,2,3,1,1,1,5,8,3,1,1,0,0,0,0,0,1,0,0,1,1,1,2,1,1,1
2018010073,4,8,1,6,1,2,1,2,99,99,99,99,6,8,99,99,99,0,0,0,0,0,1,0,0,99,99,1,2,7,98,99
2018010074,1,2,2,2,2,6,3,2,3,98,2,2,6,1,3,2,4,1,0,0,0,0,0,0,0,1,1,1,5,7,1,2
2018010075,3,5,1,6,1,4,7,2,4,1,2,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,3,7,3,1
2018010076,2,3,2,6,1,3,3,2,3,2,2,1,5,4,2,2,3,0,0,0,0,0,1,0,0,1,1,1,2,7,2,1
2018010077,3,5,2,4,2,2,1,4,1,2,2,2,6,7,3,4,1,0,0,0,0,0,1,0,0,1,1,2,2,1,98,2
2018010078,2,3,2,6,1,2,4,1,1,2,1,2,5,3,3,1,4,0,0,0,0,0,1,0,0,1,1,5,2,9,1,1
2018010079,1,1,2,2,1,4,4,1,5,2,2,2,6,1,1,4,3,1,0,0,0,0,0,0,0,1,1,2,3,2,1,1
2018010080,1,2,2,4,1,2,4,2,4,2,2,1,1,3,1,2,3,0,0,0,0,0,1,0,0,1,1,1,2,2,3,1
2018010081,2,3,2,5,1,5,5,2,5,2,2,2,5,3,2,4,1,1,0,0,0,0,0,0,0,1,1,5,2,6,1,1
2018010082,3,5,2,5,1,7,6,2,1,1,1,1,6,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,6,8,3,1
2018010083,4,9,2,2,1,4,3,1,3,2,2,2,3,2,2,3,3,1,0,0,0,0,0,0,0,1,1,2,4,4,3,2
2018010084,2,3,2,4,1,4,2,1,4,2,1,1,6,3,2,3,1,0,0,0,0,0,1,0,0,1,1,4,3,7,1,1
2018010085,1,1,2,6,1,2,2,1,5,2,2,2,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,5,2,5,3,2
2018010086,3,7,2,5,2,4,2,4,5,1,2,1,5,6,3,3,2,0,0,0,0,0,1,0,0,2,99,4,3,5,3,1
2018010087,3,7,2,2,2,4,2,4,5,2,2,2,6,2,2,1,2,0,0,0,0,0,1,0,0,1,1,2,3,2,3,1
2018010088,4,9,2,6,1,4,1,4,2,2,2,2,5,8,3,2,3,0,0,0,0,0,1,0,0,1,1,4,3,5,3,1
2018010089,2,3,2,6,1,4,2,4,5,2,2,2,5,8,2,4,2,0,0,0,0,0,1,0,0,1,1,4,3,1,3,2
2018010090,1,2,1,2,1,7,6,2,1,2,2,1,2,2,3,3,3,0,0,0,0,0,1,0,0,1,1,1,6,9,1,2
2018010091,4,9,2,4,1,5,5,1,5,1,2,1,6,7,2,3,1,0,0,0,0,0,1,0,0,1,1,2,2,1,2,1
2018010092,4,9,2,2,2,6,7,2,1,1,2,1,2,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,9,1,1
2018010093,4,9,2,5,1,6,6,2,2,1,2,1,6,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,10,3,1
2018010094,4,9,1,6,1,7,8,2,1,1,1,2,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,9,3,1
2018010095,4,9,1,6,1,5,7,2,1,1,2,1,5,1,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,8,1,1
2018010096,4,9,2,5,1,4,3,2,3,1,1,2,5,4,2,1,3,0,0,0,0,0,1,0,0,1,1,1,3,7,1,1
2018010097,4,9,2,2,1,4,2,2,5,1,2,2,6,2,2,2,3,0,1,0,0,0,0,0,0,1,1,1,2,3,3,1
2018010098,4,9,2,6,1,3,2,1,3,1,2,2,6,8,2,3,3,0,0,0,0,0,1,0,0,1,1,2,3,4,3,1
2018010099,4,9,2,4,2,6,7,2,2,1,1,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,5,6,3,98
2018010100,4,9,2,4,1,6,8,2,1,1,2,2,3,2,3,1,4,1,0,0,0,0,0,0,0,1,1,2,5,8,1,1
2018010101,4,9,2,6,2,6,6,2,3,2,2,1,1,8,2,3,2,0,0,1,0,0,0,0,0,1,1,1,5,3,3,2
2018010102,3,5,2,1,1,3,7,3,5,1,98,2,5,5,2,3,2,0,0,0,0,0,1,0,0,1,1,2,6,3,2,1
2018010103,1,1,2,5,1,4,3,2,2,98,98,2,1,7,2,3,3,0,0,0,0,0,1,0,0,1,1,1,3,6,3,1
2018010104,3,5,1,6,1,5,2,1,1,2,1,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,4,4,4,1,1
2018010105,2,3,1,4,1,2,2,2,4,2,2,1,5,6,2,1,2,0,0,0,0,0,1,0,0,1,1,1,2,2,1,2
2018010106,2,3,2,5,1,4,4,2,3,99,98,1,5,6,2,2,3,0,0,0,0,0,1,0,0,1,1,1,1,5,1,1
2018010107,2,3,1,6,1,4,2,1,3,2,2,1,6,3,2,3,3,0,0,0,0,0,1,0,0,1,1,4,3,3,3,2
2018010108,3,5,1,6,1,2,2,1,4,2,2,1,5,8,2,1,2,0,0,0,0,0,1,0,0,1,1,5,2,3,98,1
2018010109,1,2,2,4,2,2,7,2,98,1,2,1,6,4,2,3,1,0,0,0,0,0,1,0,0,1,1,1,3,8,3,2
2018010110,3,5,2,4,1,4,1,2,5,2,2,2,4,2,3,4,3,1,0,0,0,0,0,0,0,1,1,3,3,4,3,2
2018010111,4,8,2,6,1,4,5,2,1,2,2,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,3,10,1,1
2018010112,3,6,1,5,1,1,2,2,4,2,2,2,1,6,2,4,1,0,0,0,0,0,1,0,0,1,3,3,1,6,1,2
2018010113,3,5,2,6,1,6,6,2,1,1,2,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,9,1,1
2018010114,4,8,1,6,1,6,4,2,1,1,2,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,5,3,1
2018010115,4,9,2,2,1,5,3,2,2,1,2,1,3,4,3,1,3,0,0,0,0,0,1,0,0,1,1,1,3,6,1,1
2018010116,2,4,1,6,1,2,4,2,3,2,2,2,5,8,2,3,3,0,0,0,0,0,1,0,0,2,1,1,2,5,2,1
2018010117,1,2,2,6,1,2,3,1,4,2,2,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,5,2,7,1,1
2018010118,3,5,2,4,2,4,7,2,1,1,98,1,5,4,3,1,3,0,0,0,0,0,1,0,0,1,1,1,3,8,1,1
2018010119,3,5,2,3,1,3,3,2,5,2,2,2,1,4,1,3,3,0,0,0,0,0,1,0,0,1,1,1,2,5,2,1
2018010120,2,3,2,6,1,6,5,1,1,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,4,1,9,1,1
2018010121,2,3,2,6,1,4,6,2,1,1,1,1,5,3,3,1,2,0,0,0,0,0,1,0,0,1,1,1,4,7,3,1
2018010122,2,3,2,3,1,6,6,2,5,1,1,1,1,2,2,1,4,0,0,0,0,0,1,0,0,1,1,1,5,1,1,1
2018010123,4,9,1,6,2,5,1,1,3,2,2,2,5,8,2,3,3,0,0,0,0,0,1,0,0,1,1,4,4,5,2,2
2018010124,2,3,1,6,1,7,4,2,3,1,1,1,5,8,2,2,3,0,0,0,0,0,1,0,0,1,1,4,2,4,3,1
2018010125,3,5,2,1,1,2,1,3,3,2,2,2,6,7,3,4,98,0,0,0,0,0,1,0,0,1,1,2,2,5,1,98
2018010126,4,9,2,6,1,4,2,4,5,2,2,2,6,8,2,1,3,0,0,0,0,0,1,0,0,1,1,4,3,1,3,2
2018010127,4,9,1,6,1,4,3,1,2,2,99,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,4,3,7,99,2
2018010128,3,7,2,3,1,4,5,2,3,1,2,1,2,3,2,3,3,1,0,0,0,0,0,0,0,1,1,1,5,4,3,1
2018010129,2,3,1,6,1,4,1,1,4,2,2,2,5,8,3,3,3,0,0,0,0,0,1,0,0,1,1,4,3,9,3,2
2018010130,3,7,2,6,1,6,7,2,1,1,1,1,5,4,3,1,4,0,0,0,0,0,1,0,0,1,1,1,3,9,1,1
2018010131,1,1,1,1,2,4,3,3,2,2,2,2,6,2,3,2,3,0,0,0,0,0,1,0,0,1,1,2,3,1,1,1
2018010132,1,1,2,6,1,4,5,2,3,1,2,1,5,3,2,3,3,0,0,0,0,0,1,0,0,1,1,1,2,6,3,1
