NFCSID,CENSUSREG,CENSUSDIV,A3,A3Ar_w,A4A_new_w,A5_2015,A8,A7,J41_2,C1_2012,C4_2012,EA_1,A11,A9,J4,J20,J43,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G25_1,G25_4,A6,A41,J1,J3,B2
2018017315,4,8,2,5,1,7,7,2,4,1,1,1,5,6,2,1,3,0,0,0,0,0,1,0,0,1,1,1,5,6,3,1
2018017316,4,9,1,5,2,7,5,4,1,1,1,1,1,2,3,1,4,0,0,0,0,0,1,0,0,1,1,4,6,9,1,1
2018017317,3,6,2,1,1,2,1,4,4,2,2,2,6,3,1,4,3,0,0,0,0,0,1,0,0,1,5,2,2,1,3,2
2018017318,3,5,2,5,2,5,2,2,5,2,2,2,1,6,1,4,1,1,0,0,0,0,0,0,0,1,4,1,1,1,3,2
2018017319,3,5,2,3,2,7,4,2,5,2,2,1,3,2,3,1,3,1,1,0,0,0,0,0,0,1,1,1,6,9,3,1
2018017320,1,1,1,6,1,4,4,2,5,2,2,1,5,8,2,1,2,0,0,0,0,0,1,0,0,1,1,1,2,3,3,2
2018017321,2,3,2,4,1,5,6,2,1,1,2,1,1,2,1,4,2,0,0,0,0,0,1,0,0,1,1,4,4,1,2,1
2018017322,4,8,2,3,1,1,6,2,3,2,2,2,3,1,1,2,3,0,0,0,0,0,1,0,0,1,1,1,1,4,2,2
2018017323,2,4,2,5,1,4,6,2,3,2,2,2,6,2,2,4,2,0,0,0,0,0,1,0,0,1,1,1,3,1,1,1
2018017324,1,2,2,4,1,3,4,2,5,2,2,2,3,6,2,2,3,0,0,0,0,0,1,0,0,1,3,1,3,5,3,2
2018017325,3,5,2,2,2,6,3,2,3,98,1,2,2,4,2,2,4,0,0,0,0,0,1,0,0,1,1,1,5,7,1,1
2018017326,4,8,1,2,1,4,6,3,3,2,2,2,6,7,2,3,2,0,0,0,0,0,1,0,0,1,5,2,3,1,3,2
2018017327,4,8,2,2,2,6,6,1,5,98,98,1,1,4,1,3,3,0,0,0,0,0,1,0,0,99,1,1,5,7,2,1
2018017328,3,6,2,5,1,7,8,2,1,1,98,1,5,4,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,9,1,1
2018017329,4,9,2,4,1,5,1,1,3,2,2,2,6,3,2,4,3,0,0,0,0,0,1,0,0,1,1,2,3,5,98,1
2018017330,3,5,2,5,2,6,6,2,2,1,2,1,2,3,3,1,3,1,0,1,0,0,0,0,0,1,1,1,2,4,1,1
2018017331,2,3,1,3,1,5,5,2,3,1,98,1,4,2,3,3,3,0,0,0,0,0,1,0,0,99,99,1,4,6,3,1
2018017332,3,6,1,6,1,7,7,1,5,1,2,1,6,2,1,3,3,0,0,0,0,0,1,0,0,1,1,5,4,2,3,2
2018017333,4,8,2,5,1,7,6,1,3,1,1,1,6,2,2,1,3,0,0,0,0,0,1,0,0,1,1,2,3,8,3,1
2018017334,3,6,2,5,1,4,6,2,4,2,2,1,5,8,2,2,2,1,0,0,0,0,0,0,0,1,1,1,2,8,3,1
2018017335,2,4,2,5,1,6,7,2,1,1,1,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,1,1,5,7,1,1
2018017336,2,3,1,5,1,4,4,2,2,1,99,1,5,2,3,99,3,0,0,0,0,0,1,0,0,1,1,1,2,7,1,1
2018017337,1,2,2,1,1,2,3,3,3,1,2,99,6,2,99,1,4,0,0,0,0,0,1,0,0,1,2,2,4,6,3,2
2018017338,3,7,1,4,2,2,1,2,1,2,2,2,2,7,1,4,1,0,0,0,0,0,1,0,0,1,1,1,4,1,1,2
2018017339,2,3,1,4,1,4,5,2,1,1,1,1,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,3,5,3,1
2018017340,3,5,2,5,1,3,2,2,5,2,2,1,5,6,2,4,1,0,0,0,0,0,1,0,0,1,1,1,2,4,3,1
2018017341,4,8,1,6,1,4,5,1,1,1,1,1,5,2,3,1,4,0,0,0,0,0,1,0,0,1,1,5,3,10,1,1
2018017342,2,3,1,5,1,7,8,2,2,1,1,1,1,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,6,10,2,1
2018017343,3,5,2,4,1,7,8,2,2,1,1,1,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,1,1
2018017344,4,8,2,5,1,6,8,2,1,1,1,1,5,1,3,1,3,0,0,0,0,0,1,0,0,1,1,1,5,8,1,1
2018017345,4,9,2,4,1,3,3,4,5,2,2,1,1,1,2,4,1,0,0,0,0,0,1,0,0,1,1,2,2,1,1,2
2018017346,3,6,2,5,1,3,1,1,5,2,2,2,6,6,1,4,3,0,0,0,0,0,1,0,0,1,2,4,2,9,1,2
2018017347,3,5,2,2,1,5,3,3,5,2,2,2,3,2,2,2,3,0,0,0,0,0,1,0,0,1,1,2,4,8,3,1
2018017348,4,8,2,2,1,2,5,2,2,1,2,1,6,4,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,6,1,1
2018017349,3,5,1,6,1,2,5,2,3,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,1,7,1,1
2018017350,2,4,2,3,1,3,3,2,5,2,2,2,2,6,2,4,1,0,0,0,0,0,1,0,0,1,5,5,2,4,1,2
2018017351,3,5,1,3,1,6,5,1,2,1,2,2,6,2,3,2,3,0,0,0,0,0,1,0,0,1,1,2,5,6,3,2
2018017352,1,2,2,2,2,6,1,3,4,98,98,1,6,1,2,2,3,0,0,0,0,0,1,0,0,1,1,2,98,2,2,1
2018017353,3,7,2,5,1,4,7,2,2,1,1,1,2,2,2,1,4,0,0,0,0,0,1,0,0,1,1,1,4,8,1,1
2018017354,3,5,2,3,1,4,7,2,4,1,2,2,3,2,2,2,2,0,0,0,0,0,1,0,0,1,1,1,2,1,2,1
2018017355,4,9,2,3,1,4,4,2,5,1,2,1,4,4,1,4,1,0,0,0,0,0,1,0,0,1,1,1,4,1,2,1
2018017356,3,5,2,2,2,4,2,4,5,2,2,2,1,3,2,4,3,1,0,0,0,0,0,0,0,1,1,2,1,2,3,1
2018017357,2,4,2,4,1,5,4,1,3,1,2,1,5,2,3,98,3,0,0,0,0,0,1,0,0,1,1,4,4,5,1,1
2018017358,2,3,2,2,1,6,6,2,3,1,2,1,3,4,2,4,3,1,0,0,0,0,0,0,0,1,1,1,5,2,2,2
2018017359,3,6,2,2,1,2,5,2,4,2,2,2,3,4,2,3,2,0,0,0,0,0,1,0,0,1,1,1,3,1,3,2
2018017360,2,3,2,3,1,6,6,1,2,1,2,1,6,2,3,4,4,0,0,0,0,0,1,0,0,1,1,2,5,7,1,1
2018017361,2,4,1,2,1,5,2,1,1,98,98,99,6,2,3,2,3,0,0,0,0,0,0,0,1,2,1,2,6,10,1,1
2018017362,3,5,1,4,1,2,7,2,1,1,1,2,2,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,6,2,1
2018017363,2,3,1,4,1,4,6,2,5,1,1,1,3,2,1,3,2,0,1,0,0,0,0,0,0,1,1,1,2,2,2,1
2018017364,3,6,2,5,1,4,7,4,1,2,2,1,5,6,3,1,4,0,0,0,0,0,1,0,0,1,1,4,3,7,1,1
2018017365,2,3,1,5,1,6,7,2,2,1,2,1,2,2,3,2,3,0,0,1,0,0,0,0,0,1,1,1,2,6,3,1
2018017366,3,5,1,6,1,2,4,1,1,2,2,1,6,1,3,1,4,0,0,0,0,0,1,0,0,1,1,2,2,6,1,2
2018017367,4,8,1,6,1,6,3,2,2,2,2,1,5,8,3,2,3,0,0,0,0,0,1,0,0,1,1,1,5,6,3,1
2018017368,2,3,1,2,1,4,6,2,2,1,2,1,1,2,2,1,4,1,1,0,0,0,0,0,0,1,1,1,5,8,2,1
2018017369,3,5,2,4,1,4,5,2,5,1,2,1,3,2,1,4,1,0,0,0,0,0,1,0,0,1,1,1,3,4,1,2
2018017370,2,3,2,6,1,4,2,1,5,2,2,1,5,3,2,3,98,0,0,0,0,0,1,0,0,1,1,5,2,2,3,1
2018017371,1,1,2,5,1,6,6,2,4,1,1,1,5,2,2,3,1,0,0,0,0,0,1,0,0,2,1,4,4,5,1,1
2018017372,3,7,2,4,2,6,7,2,4,1,2,1,4,2,2,4,2,0,0,0,0,0,1,0,0,1,1,1,5,5,3,1
2018017373,2,3,2,3,1,6,5,1,1,1,1,1,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,2,2,6,1,1
2018017374,2,4,2,2,1,3,3,2,3,2,2,1,3,7,2,3,3,0,0,0,0,0,1,0,0,3,5,1,2,5,2,2
2018017375,1,2,2,3,2,4,4,1,4,2,2,1,3,1,2,3,3,1,0,0,0,0,0,0,0,1,1,4,3,5,2,2
2018017376,3,6,2,5,1,4,4,2,4,1,1,1,5,2,2,2,3,0,0,0,0,0,1,0,0,1,1,1,5,4,1,1
2018017377,2,4,1,4,2,5,4,2,5,1,98,2,1,2,2,2,2,0,0,0,0,0,1,0,0,1,1,1,4,9,3,1
2018017378,3,7,2,2,1,7,4,1,3,1,2,2,6,2,2,4,3,1,0,0,0,0,0,0,0,1,1,2,5,3,2,1
2018017379,1,2,2,1,1,4,4,3,3,2,2,2,6,2,98,2,4,0,0,0,0,0,1,0,0,1,1,2,3,8,1,1
2018017380,2,4,2,4,1,2,2,1,99,2,98,1,5,2,98,1,99,1,0,0,0,0,0,0,0,98,98,4,2,10,98,2
2018017381,1,2,1,6,1,6,5,1,1,2,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,5,3,10,3,1
2018017382,1,2,1,2,1,7,7,2,4,1,2,1,4,2,2,2,4,1,0,0,0,0,0,0,0,1,1,1,1,8,3,1
2018017383,2,3,1,6,1,6,4,2,4,1,2,1,6,3,2,4,3,0,0,0,0,0,1,0,0,1,1,1,5,7,3,2
2018017384,2,3,1,1,1,4,1,1,3,2,2,1,6,7,2,4,1,0,0,0,0,0,1,0,0,1,1,2,5,1,2,1
2018017385,2,3,2,2,2,3,2,2,3,2,98,2,3,2,3,3,3,0,0,0,0,0,1,0,0,98,98,2,2,5,3,98
2018017386,4,9,1,6,1,4,7,1,1,2,2,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,5,3,9,1,1
2018017387,3,7,1,4,1,6,5,2,4,2,2,1,6,2,2,3,4,0,0,0,0,0,1,0,0,1,1,2,2,4,3,1
2018017388,2,3,2,4,1,3,5,2,4,1,2,1,3,2,2,4,3,0,0,0,0,0,1,0,0,1,2,2,2,3,1,2
2018017389,2,3,2,6,1,4,2,4,2,2,1,2,1,8,1,1,2,0,0,0,0,0,1,0,0,1,1,5,2,3,2,1
2018017390,1,2,1,6,1,2,6,2,1,2,2,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,8,1,1
2018017391,1,2,2,5,1,2,2,1,4,2,2,1,5,6,2,3,2,0,0,0,0,0,1,0,0,1,1,5,98,1,3,2
2018017392,1,1,2,3,1,7,8,2,2,98,99,1,3,1,3,4,98,0,0,0,0,0,0,0,1,5,5,1,6,8,3,1
2018017393,1,1,2,3,1,4,1,3,5,2,2,2,6,3,1,4,4,0,0,0,0,0,1,0,0,1,5,2,5,7,2,1
2018017394,3,7,2,2,2,4,4,2,2,2,2,2,1,5,3,1,3,0,0,0,0,0,1,0,0,1,1,1,6,7,3,2
2018017395,2,4,2,5,2,5,4,2,4,1,2,2,5,2,2,98,3,1,0,0,0,0,0,0,0,1,1,1,2,1,3,1
2018017396,2,3,1,4,1,3,3,1,1,1,2,2,6,2,3,1,3,0,0,0,0,0,1,0,0,1,1,2,2,7,3,1
2018017397,1,2,2,6,1,4,5,4,3,99,99,99,5,8,99,3,3,0,0,0,0,0,1,0,0,1,1,4,3,7,3,99
2018017398,4,8,2,4,1,6,5,2,2,1,1,1,3,4,3,1,3,0,0,0,0,0,1,0,0,1,2,1,5,6,1,1
2018017399,1,2,2,5,1,5,7,2,4,1,1,1,2,3,2,2,3,0,0,1,0,0,0,0,0,1,1,1,4,8,1,1
2018017400,2,4,2,6,1,4,3,1,3,2,1,1,5,2,2,2,2,0,0,0,0,0,1,0,0,1,1,4,3,6,3,1
2018017401,4,8,2,5,1,4,5,2,2,2,1,1,5,8,2,1,3,0,0,0,0,0,1,0,0,1,1,4,5,6,1,1
2018017402,1,1,1,5,1,6,5,2,3,2,2,1,5,2,2,2,2,0,0,1,0,0,0,0,0,1,1,1,5,6,3,1
2018017403,3,7,1,3,2,6,6,1,1,1,1,1,5,2,3,1,4,0,0,0,0,0,1,0,0,1,1,2,5,7,1,1
2018017404,3,6,2,5,1,2,1,1,5,2,2,1,5,8,2,4,2,0,0,0,0,0,1,0,0,1,1,4,2,1,3,1
2018017405,1,2,2,2,1,5,3,4,4,1,2,2,6,2,2,4,2,0,0,0,0,0,1,0,0,1,1,2,4,4,2,1
2018017406,4,9,1,4,2,5,6,1,3,2,2,1,6,2,2,2,98,0,0,0,0,0,1,0,0,1,1,2,6,3,1,1
2018017407,3,7,2,4,1,4,2,1,5,2,2,1,5,6,1,3,1,0,0,0,0,0,1,0,0,1,1,4,3,1,2,2
2018017408,1,1,2,6,1,3,2,2,1,2,2,2,5,8,3,2,3,0,0,0,0,0,1,0,0,1,1,1,2,8,1,1
2018017409,4,8,2,2,2,6,1,4,4,1,2,2,6,7,2,3,4,1,0,0,0,0,0,0,0,1,1,2,2,1,2,1
2018017410,1,1,2,4,1,5,1,1,4,2,2,2,5,6,2,4,2,1,0,0,0,0,0,0,0,1,1,4,2,1,1,1
2018017411,1,1,2,4,1,7,7,2,2,1,2,1,2,3,3,2,4,0,0,0,0,0,1,0,0,1,1,1,3,4,3,1
2018017412,1,1,2,3,1,5,5,2,5,2,2,1,3,3,2,2,3,0,0,0,0,0,1,0,0,2,1,1,4,6,3,1
2018017413,2,4,2,4,1,5,7,2,1,1,1,1,1,2,3,2,3,0,0,0,0,0,1,0,0,1,1,1,3,7,1,1
2018017414,3,5,2,4,2,6,8,2,5,1,2,2,1,2,2,4,3,1,0,0,0,0,0,0,0,1,1,1,5,4,2,1
2018017415,4,8,1,5,2,5,6,2,3,1,1,1,5,2,3,2,3,1,0,0,0,0,0,0,0,1,1,1,1,5,1,1
2018017416,4,9,2,6,1,6,3,1,4,1,1,1,6,8,2,1,4,0,0,0,0,0,1,0,0,1,1,2,5,8,2,1
2018017417,3,7,2,3,1,2,4,2,5,1,2,1,2,4,1,3,1,0,0,0,0,0,1,0,0,5,1,1,2,2,2,1
2018017418,3,7,2,6,2,7,5,2,3,2,99,1,1,1,2,2,3,0,0,0,0,0,1,0,0,1,1,1,6,6,3,1
2018017419,3,7,2,3,1,4,5,2,5,1,2,1,1,2,2,4,3,1,0,0,0,0,0,0,0,2,2,1,3,5,3,1
2018017420,3,7,2,6,2,4,5,2,2,1,1,1,5,2,3,1,2,0,0,0,0,0,1,0,0,1,1,1,2,5,3,1
2018017421,4,8,2,4,1,4,6,2,1,2,2,2,1,4,1,4,3,0,0,0,0,0,1,0,0,1,5,1,3,6,98,2
2018017422,3,7,2,2,1,7,5,2,2,1,1,1,6,2,3,2,4,0,0,0,0,0,1,0,0,1,1,1,6,7,1,1
2018017423,3,7,1,4,1,6,6,2,1,1,1,1,5,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,9,1,1
2018017424,2,4,2,6,1,6,7,2,1,1,1,1,5,3,3,1,3,0,0,0,0,0,1,0,0,1,1,1,4,8,1,1
2018017425,2,4,2,5,1,2,5,2,98,1,2,2,5,6,98,98,98,0,0,0,0,0,1,0,0,1,1,1,2,1,98,1
2018017426,3,6,2,3,1,4,3,2,4,2,2,2,4,2,2,4,1,0,0,0,0,0,1,0,0,1,3,1,3,5,1,2
2018017427,2,3,2,2,2,6,6,2,4,1,1,1,6,2,3,2,4,0,1,0,0,0,0,0,0,1,1,1,5,9,3,1
2018017428,4,9,2,5,1,2,7,2,2,1,1,2,5,3,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,6,2,1
2018017429,1,2,1,4,2,4,5,2,5,2,2,2,1,2,2,4,1,0,1,0,0,0,0,0,0,1,1,1,3,1,3,2
2018017430,3,5,1,6,1,4,5,2,5,1,2,1,5,3,2,2,1,0,0,0,0,0,1,0,0,1,1,1,2,1,3,2
2018017431,3,7,1,6,1,7,6,2,2,1,1,1,5,8,3,1,4,0,0,1,0,0,0,0,0,1,1,1,6,10,1,1
2018017432,1,2,2,5,2,7,5,4,5,1,2,1,3,2,1,98,3,0,0,0,0,0,1,0,0,1,1,4,1,1,3,1
2018017433,4,8,2,3,2,4,6,3,2,1,2,1,4,2,3,1,3,0,0,0,0,0,1,0,0,1,1,4,3,8,1,1
2018017434,1,2,1,3,1,6,7,2,1,1,2,1,2,2,2,4,1,0,0,0,0,0,1,0,0,1,1,1,5,1,98,2
2018017435,1,2,2,5,1,2,3,1,4,2,2,2,6,6,99,4,1,0,0,0,0,0,1,0,0,1,1,2,2,3,3,1
2018017436,4,9,2,4,1,4,5,2,1,2,2,2,5,4,3,1,98,0,0,0,0,0,1,0,0,1,1,1,3,6,3,1
2018017437,4,9,2,5,1,4,6,4,1,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,4,2,8,1,1
2018017438,3,5,1,3,2,2,5,2,2,2,2,1,2,2,2,2,4,0,0,0,0,0,1,0,0,1,1,1,2,4,3,2
2018017439,4,8,1,1,2,6,3,4,3,1,2,2,6,2,3,1,4,0,0,0,0,0,1,0,0,1,1,2,4,10,1,1
2018017440,3,7,2,3,2,4,1,2,3,2,2,2,2,7,2,98,3,0,0,0,0,0,1,0,0,1,2,2,3,6,3,2
2018017441,3,7,2,6,1,7,5,4,2,1,2,1,5,3,3,3,3,0,0,0,0,0,1,0,0,1,1,5,3,7,1,1
2018017442,2,3,1,6,1,2,2,1,3,2,1,1,6,8,3,2,3,0,0,0,0,0,1,0,0,1,1,5,2,7,3,1
2018017443,3,6,2,2,2,7,4,3,4,1,2,2,2,2,2,4,3,1,0,0,0,0,0,0,0,1,1,2,5,3,2,1
2018017444,3,5,2,3,1,5,6,2,2,1,2,1,6,2,3,1,3,1,0,0,0,0,0,0,0,1,1,4,2,5,1,1
2018017445,2,3,1,4,1,1,1,2,5,2,2,2,6,7,1,4,1,0,0,0,0,0,1,0,0,1,1,2,1,1,3,2
2018017446,2,3,1,1,1,2,7,3,1,98,98,2,6,1,3,1,4,0,0,0,0,0,1,0,0,1,2,2,2,10,1,2
2018017447,4,9,2,5,1,7,4,2,2,1,1,1,5,1,3,1,4,0,0,0,0,0,1,0,0,1,1,2,6,6,1,1
2018017448,3,6,2,5,1,6,6,2,3,1,1,2,5,2,2,2,2,1,1,0,0,0,0,0,0,1,1,1,5,4,1,1
2018017449,1,1,2,5,1,1,1,1,3,2,2,2,5,3,2,4,3,0,0,0,0,0,1,0,0,1,1,2,2,1,3,2
2018017450,2,4,2,5,1,6,2,2,99,1,1,1,1,3,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,7,1,1
2018017451,2,4,2,4,2,6,6,2,2,1,1,1,2,2,2,1,3,0,0,0,0,0,1,0,0,1,1,1,5,8,2,1
2018017452,1,2,2,2,1,7,5,2,5,1,2,2,6,2,2,4,3,1,0,0,0,0,0,0,0,2,1,1,5,5,3,1
2018017453,3,6,2,4,1,3,4,2,1,1,2,1,5,4,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,10,1,2
2018017454,4,9,2,2,2,2,5,2,5,1,2,1,1,2,3,2,4,0,0,0,0,0,1,0,0,1,1,1,3,7,3,1
2018017455,3,6,2,4,1,6,4,1,3,1,2,1,5,2,3,1,2,0,0,0,0,0,1,0,0,1,1,4,5,6,3,2
2018017456,3,5,2,6,1,2,5,2,1,1,2,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,8,1,1
2018017457,2,3,1,6,1,6,3,1,99,99,99,1,5,8,99,99,99,0,0,0,0,0,1,0,0,1,1,4,2,99,99,99
2018017458,1,1,2,2,1,7,3,1,5,1,2,2,6,2,2,2,3,0,0,0,0,0,1,0,0,1,1,2,5,4,1,1
2018017459,2,3,2,2,2,6,4,3,3,2,2,2,6,2,3,2,4,1,0,0,0,0,0,0,0,1,1,2,1,6,1,1
2018017460,3,7,2,3,1,7,6,2,4,1,2,1,5,2,2,1,3,1,0,0,0,0,0,0,0,1,1,1,2,5,3,1
2018017461,2,4,2,6,1,6,4,2,2,2,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,1,1
2018017462,3,5,2,4,2,6,6,1,4,1,2,1,6,2,2,1,3,0,0,0,0,0,1,0,0,1,1,2,5,6,1,1
2018017463,3,7,1,4,1,2,3,1,5,2,1,2,4,2,2,4,1,0,0,0,0,0,1,0,0,1,1,4,3,1,1,2
2018017464,1,2,1,3,2,6,5,2,2,1,1,2,2,2,3,1,3,0,0,0,0,0,1,0,0,1,1,1,5,5,1,1
2018017465,2,3,2,4,1,2,2,1,4,2,2,1,6,6,1,4,1,0,0,0,0,0,1,0,0,1,1,5,2,1,2,1
2018017466,1,1,2,4,1,6,5,4,4,2,2,2,1,2,2,3,2,0,0,0,0,0,1,0,0,1,1,4,2,4,3,2
2018017467,3,6,2,5,1,5,3,2,5,2,2,1,5,6,2,4,3,0,0,0,0,0,1,0,0,1,3,1,2,1,3,2
2018017468,1,2,2,3,2,7,1,1,5,2,2,2,6,1,2,4,3,1,0,0,0,0,0,0,0,1,1,2,6,1,3,2
2018017469,3,5,2,2,2,4,2,2,2,1,2,2,2,4,2,4,3,1,0,0,0,0,0,0,0,1,1,1,3,5,2,1
2018017470,2,3,2,4,2,6,5,2,5,98,98,1,2,3,3,2,2,0,0,0,0,0,1,0,0,1,1,1,5,3,1,2
2018017471,2,3,1,4,1,4,2,2,4,2,2,2,5,2,2,4,2,1,0,0,0,0,0,0,0,1,3,1,5,1,2,1
2018017472,2,3,1,5,1,5,5,2,3,2,2,1,5,6,3,3,2,0,0,0,0,0,1,0,0,1,1,1,2,5,3,1
2018017473,2,3,1,5,1,7,8,2,2,1,1,1,5,2,3,1,4,0,0,1,0,0,0,0,0,1,1,1,6,8,1,1
2018017474,1,1,2,5,1,6,5,2,3,1,1,1,3,2,2,2,2,0,0,0,0,0,1,0,0,1,1,1,2,9,3,1
2018017475,1,2,1,2,2,6,3,2,3,98,2,2,6,2,3,2,3,0,0,0,0,0,1,0,0,1,1,1,3,5,3,1
2018017476,3,5,2,4,1,6,3,2,4,1,1,1,1,1,2,1,2,0,0,0,0,0,1,0,0,2,1,1,2,5,2,1
2018017477,2,3,2,5,2,3,2,4,3,1,2,2,6,2,2,3,3,0,0,0,0,0,1,0,0,1,1,3,2,5,1,1
2018017478,3,5,1,4,1,7,5,2,3,1,1,1,1,3,2,2,3,0,0,1,0,0,0,0,0,1,1,1,6,6,3,1
2018017479,2,4,1,5,1,6,6,2,1,1,1,1,5,3,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,9,1,1
2018017480,2,4,2,5,1,5,5,2,1,1,2,1,6,1,3,1,3,0,0,0,0,0,1,0,0,1,1,1,98,7,1,1
2018017481,3,5,1,6,1,6,7,2,1,1,1,1,5,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,1,1
2018017482,1,2,2,4,1,6,6,2,3,1,1,1,2,1,1,4,2,0,0,0,0,0,1,0,0,1,1,1,5,1,3,1
2018017483,3,5,2,4,2,2,4,4,4,2,2,2,2,2,1,4,1,0,0,0,0,0,1,0,0,1,1,2,2,2,3,1
2018017484,2,4,1,3,1,4,2,1,1,1,1,2,6,3,98,1,3,0,0,0,0,0,1,0,0,1,1,2,5,5,1,1
2018017485,1,2,1,5,1,3,7,2,1,1,1,1,5,2,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,6,1,1
2018017486,1,1,2,2,1,6,5,2,3,1,1,1,6,2,3,1,3,0,0,0,0,0,1,0,0,1,1,2,2,8,1,1
2018017487,3,7,2,3,2,6,6,2,98,2,2,2,2,4,2,4,4,1,0,0,0,0,0,0,0,1,1,1,5,1,3,1
2018017488,1,2,1,5,1,4,1,1,5,1,1,2,5,7,2,4,1,0,0,0,0,0,1,0,0,1,1,4,3,4,3,1
2018017489,4,8,2,5,1,6,5,2,5,1,2,2,1,2,2,3,2,0,1,0,0,0,0,0,0,1,1,1,2,1,3,1
2018017490,3,7,1,6,1,5,3,2,3,2,2,1,5,8,2,2,2,0,0,0,0,0,1,0,0,1,1,1,1,4,3,2
2018017491,4,8,2,2,2,7,1,4,4,2,1,2,6,5,2,1,3,1,0,0,0,0,0,0,0,1,1,2,5,1,2,1
2018017492,4,9,2,2,2,7,7,1,3,1,2,2,1,2,3,1,4,1,0,0,0,0,0,0,0,1,1,2,4,3,1,1
2018017493,4,9,2,5,1,2,5,2,2,1,1,1,5,3,3,1,3,0,0,0,0,0,1,0,0,1,1,1,1,6,3,1
2018017494,2,4,2,3,1,6,3,1,4,2,2,2,2,2,1,3,2,0,0,0,0,0,1,0,0,1,1,3,5,1,3,2
2018017495,4,8,2,2,1,1,1,2,5,2,2,1,4,4,1,4,2,0,1,0,0,0,0,0,0,1,1,1,2,1,2,2
2018017496,4,8,2,2,2,7,7,2,3,1,2,2,5,2,2,2,3,1,0,0,0,0,0,0,0,1,1,2,2,4,1,1
2018017497,1,2,2,5,1,6,3,2,5,2,2,2,3,4,1,4,2,0,0,0,0,0,1,0,0,1,3,1,1,1,1,2
2018017498,3,7,1,6,1,7,2,2,5,2,2,1,6,8,2,1,3,0,0,0,0,0,1,0,0,1,1,1,2,4,2,1
2018017499,2,3,1,3,1,7,7,2,1,1,1,1,1,2,3,1,4,1,0,0,0,0,0,0,0,1,1,1,5,9,1,1
2018017500,2,3,2,5,1,5,5,2,3,2,99,1,5,3,3,2,3,0,0,0,0,0,1,0,0,1,1,1,6,5,1,1
2018017501,2,3,2,1,1,7,3,2,3,1,2,2,6,2,2,1,2,1,0,0,0,0,0,0,0,1,1,2,6,4,1,1
2018017502,4,8,2,2,1,4,5,2,5,1,2,1,3,4,2,4,3,0,1,0,0,0,0,0,0,1,1,1,2,1,2,1
2018017503,3,5,1,2,1,4,4,2,3,1,98,1,2,3,2,4,4,1,0,0,0,0,0,0,0,1,1,1,6,1,3,1
2018017504,3,5,1,6,1,7,5,2,5,1,2,2,6,8,3,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
2018017505,3,6,2,3,2,6,4,2,3,1,1,1,1,2,2,2,2,1,1,0,0,0,0,0,0,4,4,1,5,10,3,1
2018017506,1,1,1,6,1,6,5,2,1,1,2,1,6,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,1,10,1,1
2018017507,2,4,1,3,1,4,3,2,5,1,2,2,1,6,2,98,1,1,0,0,0,0,0,0,0,1,1,1,5,1,3,2
2018017508,1,1,1,5,1,4,2,2,4,2,2,2,5,6,2,4,2,0,0,0,0,0,1,0,0,1,4,1,2,3,3,2
2018017509,3,5,1,5,1,4,6,2,1,1,1,1,2,2,3,1,3,0,0,0,0,0,1,0,0,1,1,1,3,8,1,1
2018017510,3,6,2,2,1,1,4,2,3,1,2,1,2,4,2,3,3,0,0,0,0,0,1,0,0,1,1,1,1,5,3,2
2018017511,1,1,1,5,1,7,5,2,4,2,2,1,5,2,2,3,2,0,0,0,0,0,1,0,0,1,1,1,6,7,1,2
2018017512,3,5,2,5,1,6,8,2,1,1,1,1,1,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,9,1,1
2018017513,3,6,2,6,2,6,7,2,2,1,98,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,1,1
2018017514,1,2,2,5,2,6,7,2,3,1,1,1,5,2,2,2,3,0,0,0,0,0,1,0,0,1,1,1,3,7,1,1
