,PUF_ID,agecat,PPEDUC,PPETHM,PPGENDER,PPINCIMP,PPHHSIZE,fpl,PPREG4,PPREG9,FWB1_1,FWB1_5,FS2_3,SUBKNOWL1,ACT1_2,PROPPLAN_3,PROPPLAN_1,MANAGE1_2,MANAGE1_1,MANAGE1_3,SAVEHABIT,AUTOMATED_1,AUTOMATED_2,SAVINGSRANGES,HOUSING,HOUSERANGES,MORTGAGE,PRODHAVE_8,PRODUSE_1,PRODUSE_2,FWBscore,FSscore
43,10352,2,4,1,2,3,4,2,3,5,2,4,3,5,2,4,4,3,5,2,3,1,0,5,3,3,-2,1,0,0,51,39
44,12163,4,4,1,1,5,2,3,1,2,3,5,3,5,3,4,3,5,5,2,2,7,7,4,1,6,2,0,0,0,30,61
45,10353,2,2,1,1,4,3,3,2,3,2,3,3,4,3,3,4,5,5,1,3,1,7,99,3,4,-2,0,0,0,60,40
46,12676,6,3,1,1,2,1,2,4,8,1,5,3,-1,3,3,5,4,5,4,3,-1,-1,4,1,5,2,0,0,0,34,60
47,8305,8,5,1,1,8,2,3,2,3,5,5,2,5,5,3,2,5,5,5,5,1,0,99,1,98,1,0,0,0,76,55
48,9182,6,2,1,2,4,2,3,4,9,3,4,5,4,3,2,4,3,5,1,3,7,7,99,1,99,98,0,0,0,50,43
49,8946,4,3,1,2,6,3,3,4,8,2,3,2,5,4,4,4,4,5,1,2,1,0,4,1,4,2,0,0,0,47,43
50,14079,2,4,4,1,3,5,1,4,9,1,3,4,4,3,3,2,2,3,1,2,0,1,2,2,5,-2,1,1,0,37,27
51,13243,5,2,1,1,8,2,3,2,4,4,2,2,6,4,4,5,4,5,5,6,1,1,6,1,7,-1,0,0,0,71,64
52,9183,2,3,4,1,6,3,3,2,3,2,3,3,5,4,4,4,4,5,5,5,0,1,5,1,5,1,0,0,0,47,49
53,12560,4,5,4,2,9,5,3,4,9,3,3,2,6,3,4,4,4,4,1,5,1,0,3,2,7,-2,1,0,0,43,55
54,11222,6,3,4,2,3,2,3,1,1,3,3,3,5,3,4,4,5,5,5,4,1,1,99,1,7,98,0,0,0,50,41
55,11081,7,5,1,2,5,1,3,2,3,4,5,3,5,4,4,3,4,5,3,6,1,1,5,1,2,1,0,0,0,59,53
56,8947,3,5,1,1,7,5,3,4,8,4,2,3,5,4,4,4,4,5,5,6,1,1,7,2,5,-2,0,0,0,61,56
57,8306,5,5,1,1,9,2,3,1,2,4,2,2,6,4,5,5,4,5,5,6,1,0,5,1,7,3,0,0,0,69,64
58,9915,4,4,3,2,9,3,3,3,7,4,1,1,6,3,3,1,3,5,4,5,1,1,5,1,7,3,0,0,0,70,58
59,8712,2,2,1,2,7,4,3,2,3,1,2,2,5,3,4,5,5,4,2,4,1,1,4,2,2,-2,0,0,0,42,45
60,12710,6,3,1,1,7,2,3,3,6,5,1,3,5,5,4,4,5,5,1,5,7,7,6,1,1,1,0,0,0,73,53
61,10129,6,5,1,1,9,5,3,1,2,4,4,3,5,4,4,3,4,5,5,5,0,1,7,1,7,3,0,0,0,62,55
62,11082,6,5,1,2,7,3,3,3,5,4,2,3,4,4,3,5,5,5,5,6,1,1,99,1,99,99,0,0,0,62,55
63,12298,3,4,1,1,6,1,3,1,1,4,2,4,4,5,4,4,4,4,4,6,1,0,6,1,4,2,0,0,0,52,56
64,10759,3,5,1,1,8,4,3,1,2,3,2,2,6,4,4,4,4,5,4,5,1,0,7,1,7,3,1,0,0,63,61
65,9184,4,3,1,2,9,3,3,1,2,3,3,4,4,4,4,4,3,5,3,6,1,0,4,1,7,2,1,0,0,50,51
66,8713,8,5,1,2,6,2,3,2,4,3,4,2,5,4,4,4,5,5,5,6,1,0,7,1,99,99,0,0,0,56,49
67,9434,5,2,1,1,5,2,3,3,5,1,3,4,4,3,4,4,5,5,1,5,1,1,5,1,4,2,0,0,0,50,43
68,10912,6,2,2,1,6,2,3,3,7,3,3,3,5,4,4,4,4,5,5,6,1,1,6,1,2,1,0,0,0,59,44
69,10130,6,2,1,2,9,2,3,3,5,3,3,3,5,3,3,3,3,5,3,5,7,1,5,1,7,3,0,0,0,50,41
70,8308,3,3,1,1,3,4,2,3,5,5,1,1,6,5,5,5,5,5,5,6,1,1,99,2,5,-2,0,0,0,86,79
71,10550,6,3,4,1,5,3,3,4,9,2,3,4,4,3,4,5,3,4,4,4,1,0,7,1,6,3,0,0,0,50,37
72,8714,3,5,1,2,8,4,3,1,1,3,2,3,4,4,3,4,4,5,5,6,1,1,6,1,6,2,0,0,0,56,44
73,7314,3,3,1,2,8,3,3,3,5,4,3,2,6,5,5,5,4,5,5,6,1,1,5,1,5,2,1,0,0,59,61
74,14099,6,5,1,1,9,2,3,3,5,5,1,3,5,5,5,3,5,5,5,5,0,0,6,2,7,-2,0,0,0,81,64
75,7315,2,4,1,1,9,4,3,3,7,3,4,3,5,3,4,3,3,3,4,5,0,1,6,1,7,3,1,0,0,43,47
76,12751,2,1,4,2,3,2,3,3,7,1,5,2,4,4,5,5,3,4,2,4,7,1,2,2,4,-2,0,1,1,31,55
77,11499,4,4,1,1,9,2,3,3,5,3,3,2,5,4,4,4,3,4,3,5,1,1,4,1,5,2,0,0,0,52,48
