PUF_ID,PPREG4,PPREG9,PPGENDER,agecat,PPETHM,PPEDUC,PPINCIMP,PPHHSIZE,FWB1_5,AUTOMATED_1,HOUSING,KIDS_NoChildren,KIDS_1,KIDS_2,KIDS_3,KIDS_4,EMPLOY,ENDSMEET,FWB1_1,ACT1_2,PRODHAVE_8,PRODUSE_2,PPMARIT,HHEDUC,PAREDUC,HOUSESAT,SWB_1,MANAGE1_2,AUTOMATED_2
9386,1,2,1,4,1,5,9,3,2,0,1,0,0,0,1,0,1,1,3,4,0,0,1,5,4,4,5,5,1
7555,4,9,1,2,1,1,1,1,2,7,2,1,0,0,0,0,6,1,5,3,0,0,4,3,2,4,7,5,7
9642,1,1,2,2,1,3,4,4,3,0,1,0,1,1,0,0,2,1,2,3,0,0,1,3,1,4,5,3,1
9643,3,5,2,7,2,3,2,2,4,7,1,1,0,0,0,0,8,1,2,4,0,0,4,3,3,2,4,5,7
8480,3,5,1,5,2,5,3,2,5,0,2,-1,0,0,0,0,7,2,2,3,0,1,3,2,5,3,5,1,0
10086,1,2,2,4,1,3,3,1,3,1,3,0,0,0,0,1,2,1,3,5,0,0,3,3,2,2,2,5,0
11804,4,9,1,7,4,1,1,2,5,0,2,1,0,0,0,0,8,2,2,1,0,0,1,1,1,1,1,5,0
12287,2,4,1,5,1,4,8,2,4,1,1,1,0,0,0,0,2,1,3,5,0,0,1,4,2,3,5,4,1
8676,2,3,2,7,1,3,6,2,4,0,1,-1,0,0,0,0,8,2,3,3,0,0,1,5,2,4,5,4,7
11994,2,3,2,8,1,2,3,3,4,1,1,1,0,0,0,0,8,1,3,4,0,0,2,2,2,4,6,4,7
11805,3,5,1,8,1,5,7,2,4,7,1,1,0,0,0,0,8,1,4,5,0,0,1,5,3,4,7,5,7
10510,2,3,2,3,2,2,7,2,2,7,2,1,0,0,0,0,6,2,3,2,1,0,4,1,2,3,1,5,7
11705,2,4,1,4,1,2,5,1,2,0,1,1,0,0,0,0,8,1,4,4,0,0,3,2,2,3,6,4,0
11706,2,3,2,6,1,2,1,1,3,7,2,1,0,0,0,0,1,3,1,2,0,0,3,2,1,3,2,2,7
10705,3,6,1,6,1,5,7,2,1,0,1,-1,0,0,0,0,1,1,4,4,0,0,1,5,5,4,7,5,1
8903,2,3,2,6,1,5,7,1,1,0,1,1,0,0,0,0,8,1,4,4,0,0,4,5,2,3,6,3,7
12895,4,8,1,8,3,4,2,2,5,7,2,1,0,0,0,0,8,2,1,3,0,0,2,4,1,4,7,3,7
11325,4,8,1,5,1,3,8,3,3,1,1,0,0,0,2,0,2,1,3,4,0,0,3,3,3,3,4,4,1
9882,3,5,2,4,1,3,1,2,4,0,3,-1,0,0,0,0,4,2,2,3,0,0,1,3,3,3,6,4,0
10706,3,7,2,2,4,2,1,1,3,7,2,1,0,0,0,0,4,1,3,4,0,0,1,2,1,2,5,3,1
11602,2,3,1,2,1,4,4,2,3,1,2,1,0,0,0,0,1,1,3,5,1,0,5,5,5,3,6,5,1
12462,4,9,1,2,1,3,7,4,2,1,1,0,1,1,0,0,2,1,4,5,0,0,1,4,2,4,5,1,0
8268,4,9,1,3,1,4,6,4,4,1,1,0,1,1,0,0,2,1,3,4,0,0,1,4,4,4,5,5,0
13039,3,5,2,6,1,2,6,2,1,0,1,1,0,0,0,0,8,1,5,4,0,0,1,2,2,4,7,4,1
13304,3,5,2,5,1,2,6,2,1,0,1,1,0,0,0,0,1,1,4,3,0,0,1,2,2,3,6,4,0
8677,3,7,2,6,1,4,7,2,4,1,1,1,0,0,0,0,2,1,4,4,0,0,3,4,5,4,6,3,7
12628,2,4,1,6,1,3,9,2,1,0,1,1,0,0,0,0,8,1,5,5,0,0,1,5,2,4,6,4,1
13422,4,9,1,2,4,2,1,3,3,7,2,0,2,0,0,0,4,2,2,5,0,0,1,2,2,3,7,5,0
7559,4,9,1,1,1,3,8,1,1,0,2,1,0,0,0,0,5,1,5,4,0,0,4,3,3,4,7,5,0
11048,2,3,2,2,1,5,9,2,1,1,2,1,0,0,0,0,2,1,4,4,0,0,1,5,5,4,6,4,1
9644,2,3,2,3,1,4,7,2,4,1,1,0,0,2,0,0,2,2,4,3,0,0,1,4,4,4,7,3,0
13625,1,2,2,3,3,2,6,5,4,0,1,0,1,2,0,0,1,1,4,3,0,0,1,3,2,4,7,2,0
11603,3,5,1,5,2,4,9,3,3,1,1,0,0,1,0,0,2,1,5,3,0,0,1,4,5,3,5,4,7
10511,4,8,1,8,1,3,5,1,3,7,1,1,0,0,0,0,8,2,3,3,0,0,2,3,3,3,6,3,1
12842,3,7,2,6,4,2,3,1,1,1,1,1,0,0,0,0,3,1,5,5,0,0,3,2,2,4,7,5,0
9387,4,9,1,2,1,4,1,2,3,7,3,1,0,0,0,0,2,3,1,3,1,0,1,4,2,2,5,4,7
7833,2,3,2,1,4,2,2,3,4,0,2,0,1,0,0,0,1,2,3,3,0,0,1,2,2,3,7,4,0
11806,4,9,1,8,1,2,3,2,1,7,1,-1,0,0,0,0,8,1,3,3,0,0,1,2,1,3,6,4,7
12825,2,3,2,7,1,2,3,1,3,1,1,1,0,0,0,0,8,2,3,4,0,0,2,2,2,4,6,5,7
